name,goal,assist,cs,npxg,g,bcc,xa,bc,total_minn,total_goly,total_pen,total_pas,total_zhelt,total_kras
Sergio Reguilón,0.04,0.06,0.15,None,None,None,None,None,,,,,,
Winston Reid,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Rhys Williams,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Ricardo Pereira,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Declan Rice,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Taylor Richards,0.01,0.00,0.00,None,None,None,None,None,,,,,,
Lewis Richardson,0.01,0.00,0.00,None,None,None,None,None,,,,,,
Richarlison,0.17,0.13,0.23,None,None,None,None,None,,,,,,
Jairo Riedewald,0.02,0.03,0.06,None,None,None,None,None,,,,,,
Matt Ritchie,0.03,0.15,0.22,None,None,None,None,None,,,,,,
Roberto Firmino,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Haydon Roberts,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Andrew Robertson,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Antonee Robinson,0.02,0.01,0.12,None,None,None,None,None,,,,,,
Hal Robson-Kanu,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Marek Rodák,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Roderick Miranda,None,None,None,None,None,None,None,None,,,,,,
Joe Rodon,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Rodrigo,0.08,0.11,0.49,None,None,None,None,None,,,,,,
Jay Rodriguez,0.13,0.20,0.23,None,None,None,None,None,,,,,,
Jack Rodwell,None,None,None,None,None,None,None,None,,,,,,
Marcos Rojo,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Sergio Romero,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Oriol Romeu,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Danny Rose,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Rúben Dias,0.09,0.05,0.49,None,None,None,None,None,,,,,,
Rúben Neves,0.15,0.08,0.27,None,None,None,None,None,,,,,,
Rúben Vinagre,0.00,0.00,0.00,None,None,None,None,None,,,,,,
John Ruddy,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Antonio Rüdiger,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Rui Patrício,0.00,0.00,0.32,None,None,None,None,None,,,,,,
Rúnar Alex Rúnarsson,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Mat Ryan,0.01,0.02,0.12,None,None,None,None,None,,,,,,
Ryan Sessegnon,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Allan Saint-Maximin,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Romain Saïss,0.05,0.03,0.24,None,None,None,None,None,,,,,,
Henri Saivet,None,None,None,None,None,None,None,None,,,,,,
Bukayo Saka,0.19,0.28,0.35,None,None,None,None,None,,,,,,
Mamadou Sakho,0.00,0.00,0.00,None,None,None,None,None,,,,,,
William Saliba,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Mohammed Salisu,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Mbwana Samatta,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Austin Samuels,None,None,None,None,None,None,None,None,,,,,,
Robert Sánchez,0.00,0.00,0.04,None,None,None,None,None,,,,,,
Max Sanders,None,None,None,None,None,None,None,None,,,,,,
Dion Sanderson,None,None,None,None,None,None,None,None,,,,,,
Leroy Sané,None,None,None,None,None,None,None,None,,,,,,
Matija Sarkic,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Malang Sarr,None,None,None,None,None,None,None,None,,,,,,
Romaine Sawyers,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Dane Scarlett,None,None,None,None,None,None,None,None,,,,,,
Fabian Schär,0.01,0.01,0.09,None,None,None,None,None,,,,,,
Ezequiel Schelotto,None,None,None,None,None,None,None,None,,,,,,
Jeffrey Schlupp,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Kasper Schmeichel,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Sean Longstaff,0.05,0.05,0.16,None,None,None,None,None,,,,,,
Jean Michael Seri,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Meritan Shabani,0.01,0.01,0.01,None,None,None,None,None,,,,,,
Jamie Shackleton,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Xherdan Shaqiri,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Billy Sharp,0.04,0.02,0.02,None,None,None,None,None,,,,,,
Conor Shaughnessy,None,None,None,None,None,None,None,None,,,,,,
Luke Shaw,0.03,0.24,0.37,None,None,None,None,None,,,,,,
Jonjo Shelvey,0.04,0.08,0.14,None,None,None,None,None,,,,,,
Saul Shotton,None,None,None,None,None,None,None,None,,,,,,
Djibril Sidibé,None,None,None,None,None,None,None,None,,,,,,
Gylfi Sigurdsson,0.12,0.12,0.17,None,None,None,None,None,,,,,,
David Silva,0.15,0.08,0.27,None,None,None,None,None,,,,,,
Dynel Simeu,None,None,None,None,None,None,None,None,,,,,,
Ellis Simms,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Josh Sims,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Moussa Sissoko,0.04,0.06,0.19,None,None,None,None,None,,,,,,
Oliver Skipp,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Regan Slater,None,None,None,None,None,None,None,None,,,,,,
Callum Slattery,None,None,None,None,None,None,None,None,,,,,,
Islam Slimani,0.00,0.00,0.00,None,None,None,None,None,,,,,,
William Smallbone,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Chris Smalling,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Emile Smith Rowe,0.11,0.11,0.18,None,None,None,None,None,,,,,,
Robert Snodgrass,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Sokratis,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Son Heung-Min,0.29,0.27,0.19,None,None,None,None,None,,,,,,
Andreas Söndergaard,None,None,None,None,None,None,None,None,,,,,,
Elias Sorensen,None,None,None,None,None,None,None,None,,,,,,
Tomas Soucek,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Jamie Soule,None,None,None,None,None,None,None,None,,,,,,
Çaglar Söyüncü,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Jack Spong,None,None,None,None,None,None,None,None,,,,,,
Jay Stansfield,None,None,None,None,None,None,None,None,,,,,,
Jason Steele,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Jed Steer,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Zack Steffen,0.00,0.00,0.26,None,None,None,None,None,,,,,,
Maarten Stekelenburg,None,None,None,None,None,None,None,None,,,,,,
Dale Stephens,0.01,0.01,0.02,0.04,0,0,0.04,0,,,,,,
Raheem Sterling,0.45,0.31,0.44,1.82,1,4,2.32,3,,,,,,
Steven Sessegnon,0.00,0.00,0.00,None,None,None,None,None,,,,,,
Jordan Stevens,0.04,0.10,0.35,0.03,0,1,0.52,0,,,,,,
Layton Stewart,None,None,None,None,None,None,None,None,,,,,,
Jakub Stolarczyk,None,None,None,None,None,None,None,None,,,,,,
John Stones,0.08,0.04,0.42,0.3,0,0,0.01,1,,,,,,
